"sample","ahrr","epismoke","joehanes","epitob","smoking_raw","smoking","cohort"
"GSM1225377",0.62023,0.527815,0.643651111111111,0.6558575,1,"former","GSE50660"
"GSM1225378",0.7832,0.63676,0.747097777777778,0.751461666666667,0,"never","GSE50660"
"GSM1225379",0.7937,0.582435,0.69323,0.697203333333333,1,"former","GSE50660"
"GSM1225380",0.68128,0.54258,0.644797777777778,0.651999166666667,1,"former","GSE50660"
"GSM1225381",0.6803,0.559675,0.679316666666667,0.696608333333333,1,"former","GSE50660"
"GSM1225382",0.66804,0.57184,0.695637777777778,0.715320833333333,1,"former","GSE50660"
"GSM1225383",0.79756,0.621605,0.709183333333333,0.715113333333333,1,"former","GSE50660"
"GSM1225384",0.80933,0.62057,0.699921111111111,0.713734166666667,1,"former","GSE50660"
"GSM1225385",0.46641,0.4676,0.61756,0.623423333333333,1,"former","GSE50660"
"GSM1225386",0.86212,0.640295,0.714421111111111,0.712638333333333,0,"never","GSE50660"
"GSM1225387",0.71545,0.5609275,0.684327777777778,0.6978575,1,"former","GSE50660"
"GSM1225388",0.68632,0.5303775,0.632486666666667,0.647811666666667,1,"former","GSE50660"
"GSM1225389",0.81319,0.5984675,0.688322222222222,0.676651666666667,1,"former","GSE50660"
"GSM1225390",0.68374,0.56769,0.677925555555556,0.699500833333333,1,"former","GSE50660"
"GSM1225391",0.78287,0.5706775,0.689313333333333,0.7001575,1,"former","GSE50660"
"GSM1225392",0.76594,0.6258175,0.715431111111111,0.728946666666667,1,"former","GSE50660"
"GSM1225393",0.52153,0.4774575,0.61473,0.612556666666667,1,"former","GSE50660"
"GSM1225394",0.49781,0.4922225,0.640438888888889,0.6399825,1,"former","GSE50660"
"GSM1225395",0.49499,0.46083,0.601451111111111,0.604223333333333,1,"former","GSE50660"
"GSM1225396",0.58822,0.46574,0.6078,0.63135,1,"former","GSE50660"
"GSM1225397",0.55236,0.4882225,0.60479,0.60763,1,"former","GSE50660"
"GSM1225398",0.55076,0.49882,0.626514444444444,0.647996666666667,1,"former","GSE50660"
"GSM1225399",0.64728,0.5321075,0.6446,0.658659166666667,1,"former","GSE50660"
"GSM1225400",0.68301,0.5685025,0.677128888888889,0.691425833333333,1,"former","GSE50660"
"GSM1225401",0.82112,0.648145,0.731292222222222,0.738228333333333,1,"former","GSE50660"
"GSM1225402",0.62273,0.51974,0.642003333333333,0.67333,1,"former","GSE50660"
"GSM1225403",0.74845,0.58571,0.67231,0.688758333333333,1,"former","GSE50660"
"GSM1225404",0.50038,0.4567025,0.581214444444444,0.599559166666667,1,"former","GSE50660"
"GSM1225405",0.56185,0.4952125,0.617283333333333,0.643909166666667,1,"former","GSE50660"
"GSM1225406",0.47018,0.3945275,0.528622222222222,0.5370975,1,"former","GSE50660"
"GSM1225407",0.79734,0.6176075,0.71347,0.721030833333333,0,"never","GSE50660"
"GSM1225408",0.6155,0.508805,0.619551111111111,0.637104166666667,1,"former","GSE50660"
